0.00%,0.00%,1.50%,1.70%,1.60%,1.50%,1.40%,1.20%,1.10%,1.10%
0.00%,1.50%,0.30%,0.80%,0.50%,0.60%,0.60%,0.60%,0.60%,0.70%
0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.40%,0.50%,0.60%,0.80%
0.00%,0.00%,2.60%,2.70%,3.20%,3.30%,3.50%,3.60%,3.70%,3.80%
0.00%,0.00%,0.10%,0.10%,0.20%,0.30%,0.40%,0.50%,0.60%,0.70%
0.00%,0.00%,0.20%,0.90%,1.20%,1.40%,1.50%,1.60%,1.70%,1.80%
0.00%,1.50%,5.90%,5.80%,5.50%,5.10%,4.70%,4.40%,4.10%,3.90%
0.00%,0.00%,0.00%,0.10%,0.40%,0.60%,0.80%,1.10%,1.30%,1.50%
0.00%,8.50%,6.00%,6.70%,6.50%,6.60%,6.50%,6.50%,6.50%,6.50%
0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.20%,0.20%,0.30%
0.00%,0.00%,0.00%,0.00%,0.70%,0.90%,1.30%,1.50%,1.70%,1.90%
0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.40%,0.40%,0.60%
0.00%,0.00%,0.00%,0.00%,0.80%,1.10%,1.50%,1.80%,2.00%,2.20%
0.00%,0.00%,0.00%,0.10%,0.60%,0.80%,1.00%,1.10%,1.30%,1.40%
